,episode,episode_reward,critic_loss,recon_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,110.04395203486874,0.0,0.0,0.0,0.0,0.0,0.4298288822174072,125.0,1000.0
1,2.0,159.04289829089552,0.0,0.0,0.0,0.0,0.0,0.40105652809143066,250.0,2000.0
2,3.0,30.766387958415336,0.0,0.0,0.0,0.0,0.0,0.4017767906188965,375.0,3000.0
3,4.0,130.73917381599708,0.0,0.0,0.0,0.0,0.0,0.3927185535430908,500.0,4000.0
4,5.0,182.76577310912248,0.0,0.0,0.0,0.0,0.0,0.3818788528442383,625.0,5000.0
5,6.0,61.383550901748436,0.0,0.0,0.0,0.0,0.0,0.38348984718322754,750.0,6000.0
6,7.0,50.18552496102591,0.0,0.0,0.0,0.0,0.0,0.3842341899871826,875.0,7000.0
7,8.0,109.27447292429058,0.0,0.0,0.0,0.0,0.0,0.3847501277923584,1000.0,8000.0
8,9.0,74.53009484923382,5.94624662399292,,-4.691022872924805,0.13133706152439117,0.09516939505077877,2609.700216293335,1125.0,9000.0
9,10.0,170.28076563015887,12.22956371307373,,-8.319663047790527,0.08778426796197891,0.09095796464977472,234.73327684402466,1250.0,10000.0
10,11.0,162.18166425111139,14.208308219909668,,-8.838929176330566,0.08970121294260025,0.09053586237590258,216.64515137672424,1375.0,11000.0
11,12.0,157.39398437534504,17.179140090942383,,-9.858891487121582,0.05786319822072983,0.09019705083876002,216.49320316314697,1500.0,12000.0
12,13.0,156.04887163201883,16.353788375854492,,-10.474428176879883,0.03727969899773598,0.08998285330670154,225.39708375930786,1625.0,13000.0
13,14.0,195.21253181886883,18.60500144958496,,-11.114187240600586,0.029381049796938896,0.08981366894050884,214.95190048217773,1750.0,14000.0
14,15.0,180.66360676395473,17.081209182739258,,-11.711986541748047,0.029488611966371536,0.0896733792788196,203.7296392917633,1875.0,15000.0
15,16.0,177.12187285151236,19.618078231811523,,-12.570296287536621,0.02289024367928505,0.08952188318287944,192.17973613739014,2000.0,16000.0
16,17.0,247.7694898394819,18.40912437438965,,-13.228759765625,0.019931193441152573,0.08940075664850493,213.00225400924683,2125.0,17000.0
17,18.0,188.13968469046804,20.280338287353516,,-14.54428768157959,0.0018942492315545678,0.0893515413236584,170.42413330078125,2250.0,18000.0
18,19.0,191.24606181820332,18.99120330810547,,-15.564947128295898,0.006248760968446732,0.08932702482669241,173.19413495063782,2375.0,19000.0
19,20.0,182.06681688512273,19.286117553710938,,-16.738672256469727,0.00227850629016757,0.08929204407389231,132.9880666732788,2500.0,20000.0
20,21.0,240.82392197508872,17.15097999572754,,-17.592754364013672,-0.010441729798913002,0.08932798525442544,138.2362883090973,2625.0,21000.0
21,22.0,232.50884068410542,16.92066192626953,,-18.724740982055664,-0.00914658885449171,0.08939565986345048,157.87856698036194,2750.0,22000.0
22,23.0,182.19460491869748,18.667469024658203,,-19.764328002929688,-0.020263053476810455,0.08947409040311613,141.75093054771423,2875.0,23000.0
23,24.0,194.4046490427051,17.21536636352539,,-20.708192825317383,-0.01772785745561123,0.0896156137121547,133.17301511764526,3000.0,24000.0
24,25.0,299.13915218651255,15.317954063415527,,-21.87172508239746,-0.023697080090641975,0.08977019662875683,136.31864666938782,3125.0,25000.0
25,26.0,340.73107732234325,15.604297637939453,,-23.12942886352539,-0.025984562933444977,0.08996346158883221,122.24692845344543,3250.0,26000.0
26,27.0,247.48916176297683,16.45366859436035,,-24.62839698791504,-0.029148243367671967,0.09019149938380597,116.1824882030487,3375.0,27000.0
27,28.0,313.07501636111056,16.410404205322266,,-25.401020050048828,-0.017034102231264114,0.09035157418643132,124.10343480110168,3500.0,28000.0
28,29.0,216.26598499467414,16.858142852783203,,-26.966821670532227,-0.01793866977095604,0.09050473615551893,115.42556047439575,3625.0,29000.0
29,30.0,334.4396511642211,15.484732627868652,,-27.638906478881836,-0.019909558817744255,0.09067383312371319,111.06680536270142,3750.0,30000.0
30,31.0,211.73940968110207,17.37261199951172,,-28.95927619934082,-0.016729753464460373,0.09083506218663702,74.08329463005066,3875.0,31000.0
31,32.0,233.27524936155288,18.141372680664062,,-30.13361930847168,-0.015062390826642513,0.09098506980351352,86.63103723526001,4000.0,32000.0
32,33.0,192.6453606668686,18.352222442626953,,-30.95523452758789,-0.023782800883054733,0.09115818096584262,86.68913650512695,4125.0,33000.0
33,34.0,248.59557416540162,18.080978393554688,,-31.863868713378906,-0.013556349091231823,0.09133155115896878,79.88151979446411,4250.0,34000.0
34,35.0,310.5816103840504,17.32077407836914,,-33.074012756347656,-0.01846611499786377,0.09151674975615465,80.6467866897583,4375.0,35000.0
35,36.0,219.21474460228643,17.82101058959961,,-34.24848175048828,-0.014243974350392818,0.09168950675926368,54.45954775810242,4500.0,36000.0
36,37.0,202.31049155707078,17.158899307250977,,-35.21430587768555,-0.01097763143479824,0.09179460005515618,60.46255946159363,4625.0,37000.0
37,38.0,321.6315357784439,17.098426818847656,,-36.19333267211914,-0.0034020510502159595,0.09188365412170077,57.47849202156067,4750.0,38000.0
38,39.0,279.44436395742304,18.7558536529541,,-37.56634521484375,-0.007184037938714027,0.0919551828828517,56.30658221244812,4875.0,39000.0
39,40.0,278.4821799275001,19.893966674804688,,-38.670413970947266,-0.01308714784681797,0.09205564864875335,50.93463110923767,5000.0,40000.0
40,41.0,353.4050904105278,19.910045623779297,,-39.896793365478516,-0.014584534801542759,0.09224407341863608,38.48390460014343,5125.0,41000.0
