,episode,episode_reward,critic_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,69.91273658934816,0.0,0.0,0.0,0.0,1.0096874237060547,250.0,1000.0
1,2.0,61.51000068328966,0.0,0.0,0.0,0.0,1.038194179534912,500.0,2000.0
2,3.0,52.6886246219954,0.0,0.0,0.0,0.0,1.041590690612793,750.0,3000.0
3,4.0,41.61376716805486,0.0,0.0,0.0,0.0,1.0162301063537598,1000.0,4000.0
4,5.0,44.563354221278765,0.6698567867279053,-3.845231294631958,0.8662828207015991,0.09474234102207993,183.39811253547668,1250.0,5000.0
5,6.0,51.76620047530598,1.8680510520935059,-6.493499279022217,0.6592919826507568,0.08975563115225144,34.38918614387512,1500.0,6000.0
6,7.0,35.43809060973147,2.3702895641326904,-6.8565192222595215,0.680489718914032,0.08884835160936021,34.42988705635071,1750.0,7000.0
7,8.0,62.73288798008892,2.404691696166992,-7.425098419189453,0.6590175628662109,0.08790538162799044,34.38837122917175,2000.0,8000.0
8,9.0,47.56634854668986,2.1794395446777344,-7.937293529510498,0.6392092704772949,0.08699111926389824,34.34514284133911,2250.0,9000.0
9,10.0,58.57573867106283,2.130478858947754,-8.525606155395508,0.6377361416816711,0.0860955757323184,34.36607384681702,2500.0,10000.0
10,11.0,61.30923637507436,1.7281811237335205,-9.136260032653809,0.6715013980865479,0.08515625530014788,34.18814468383789,2750.0,11000.0
11,12.0,136.34395154712527,1.4116381406784058,-9.786919593811035,0.7016264796257019,0.08416074475254072,34.3474485874176,3000.0,12000.0
12,13.0,57.082969349765854,1.3664262294769287,-10.237475395202637,0.7038295865058899,0.08315226411949311,34.36340308189392,3250.0,13000.0
13,14.0,53.85248196218115,1.2549853324890137,-10.647696495056152,0.6999361515045166,0.08214854089493442,34.404196977615356,3500.0,14000.0
14,15.0,51.348769855864816,1.2376596927642822,-10.966383934020996,0.6748993992805481,0.08117843670402375,34.40593910217285,3750.0,15000.0
15,16.0,170.0937280387821,1.715072512626648,-11.632028579711914,0.6596964597702026,0.08024066778107021,34.410104751586914,4000.0,16000.0
16,17.0,35.14930922552127,1.89862060546875,-12.241578102111816,0.61829674243927,0.0793434140994273,34.397144079208374,4250.0,17000.0
17,18.0,158.20107936178997,1.941011667251587,-12.847722053527832,0.6231016516685486,0.0784657714925673,34.376797676086426,4500.0,18000.0
18,19.0,76.39116918292268,2.254456043243408,-13.533547401428223,0.5996025800704956,0.0776010455511717,34.460583209991455,4750.0,19000.0
19,20.0,85.89583710429677,2.4783332347869873,-14.111068725585938,0.5899993777275085,0.07675770971040809,34.42743992805481,5000.0,20000.0
20,21.0,95.60478110886106,2.605297803878784,-14.573845863342285,0.5752961039543152,0.07593439966333333,34.21804475784302,5250.0,21000.0
