,episode,episode_reward,critic_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,0.0,0.0,0.0,0.0,0.0,0.3669166564941406,500.0,1000.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.30881452560424805,1000.0,2000.0
2,3.0,1.0,0.005572210066020489,-1.137217402458191,0.31345903873443604,0.09410038760808215,756.8191576004028,1500.0,3000.0
3,4.0,0.0,0.002548510441556573,-1.9854341745376587,0.2936609089374542,0.08747287522430176,45.379695892333984,2000.0,4000.0
4,5.0,0.0,0.0023472651373595,-2.220202684402466,0.2868119776248932,0.08542424098243763,45.49858570098877,2500.0,5000.0
5,6.0,0.0,0.0016685392474755645,-2.4326488971710205,0.28005993366241455,0.08343755597817946,45.544801235198975,3000.0,6000.0
6,7.0,0.0,0.002001058077439666,-2.632584571838379,0.2734774649143219,0.08150847126100473,45.62667202949524,3500.0,7000.0
7,8.0,7.0,0.006513386499136686,-2.817065715789795,0.26714497804641724,0.07963397780534237,45.29814863204956,4000.0,8000.0
8,9.0,0.0,0.006498505361378193,-2.971592664718628,0.2615056335926056,0.07780889832149504,45.66463589668274,4500.0,9000.0
9,10.0,4.0,0.010127895511686802,-3.1234116554260254,0.25532066822052,0.07603123231038902,45.50897789001465,5000.0,10000.0
10,11.0,0.0,0.009380840696394444,-3.258010149002075,0.24953314661979675,0.0743008749123106,45.57869625091553,5500.0,11000.0
11,12.0,0.0,0.007147033698856831,-3.3931376934051514,0.2438705414533615,0.07261402604621237,45.548171520233154,6000.0,12000.0
12,13.0,3.0,0.0092560313642025,-3.5088837146759033,0.23832111060619354,0.0709699643005269,45.080114126205444,6500.0,13000.0
13,14.0,0.0,0.008862570859491825,-3.629891872406006,0.2327834963798523,0.06936619692778595,45.27305507659912,7000.0,14000.0
14,15.0,2.0,0.009148913435637951,-3.7597694396972656,0.2275899052619934,0.06780178274812412,45.21019244194031,7500.0,15000.0
15,16.0,8.0,0.010634709149599075,-3.827181100845337,0.2227420061826706,0.06627364912460446,45.33161950111389,8000.0,16000.0
16,17.0,4.0,0.011171845719218254,-3.9559378623962402,0.21768487989902496,0.06478111788608476,45.26815223693848,8500.0,17000.0
17,18.0,6.0,0.019990097731351852,-4.072916507720947,0.21241819858551025,0.06332537826070153,45.31489300727844,9000.0,18000.0
18,19.0,4.0,0.014719822444021702,-4.16392707824707,0.20748800039291382,0.061904128150687264,45.480782985687256,9500.0,19000.0
19,20.0,3.0,0.016865776851773262,-4.252043724060059,0.20239484310150146,0.0605189154726353,45.81779432296753,10000.0,20000.0
20,21.0,0.0,0.021620530635118484,-4.3449625968933105,0.1970619559288025,0.059166384919683124,45.712668895721436,10500.0,21000.0
21,22.0,10.0,0.01804908737540245,-4.404384613037109,0.19343674182891846,0.057844655242774254,45.43954515457153,11000.0,22000.0
22,23.0,15.0,0.03433127701282501,-4.494671821594238,0.18594369292259216,0.05655788407107586,45.717997789382935,11500.0,23000.0
23,24.0,2.0,0.043451469391584396,-4.560022354125977,0.17927682399749756,0.05531983095034656,45.91863226890564,12000.0,24000.0
24,25.0,0.0,0.06439157575368881,-4.625446319580078,0.17031329870224,0.05411999379774811,46.03981566429138,12500.0,25000.0
25,26.0,16.0,0.11996385455131531,-4.652473449707031,0.16376930475234985,0.05297830575194587,45.8909854888916,13000.0,26000.0
26,27.0,0.0,0.10993582755327225,-4.61631965637207,0.16757309436798096,0.05182136153026734,45.71200704574585,13500.0,27000.0
27,28.0,12.0,0.07654989510774612,-4.681503772735596,0.16435913741588593,0.05065767485029201,45.98843216896057,14000.0,28000.0
28,29.0,9.0,0.09417565166950226,-4.76342248916626,0.15837974846363068,0.049529812746521164,46.99193048477173,14500.0,29000.0
29,30.0,0.0,0.0954536572098732,-4.7854156494140625,0.15474118292331696,0.04843729138982567,45.47744846343994,15000.0,30000.0
30,31.0,0.0,0.08445195108652115,-4.806013584136963,0.15043719112873077,0.04736490500924134,45.56405687332153,15500.0,31000.0
31,32.0,3.0,0.09004712104797363,-4.81392765045166,0.14723309874534607,0.046320127874343975,45.495646953582764,16000.0,32000.0
32,33.0,22.0,0.09065481275320053,-4.814647674560547,0.14335064589977264,0.04529381596609657,45.699193477630615,16500.0,33000.0
33,34.0,18.0,0.1219247430562973,-4.815122604370117,0.13735440373420715,0.04429767904631007,45.679221868515015,17000.0,34000.0
34,35.0,46.0,0.13835081458091736,-4.815758228302002,0.13167642056941986,0.0433438632100763,45.818002223968506,17500.0,35000.0
35,36.0,44.0,0.15924957394599915,-4.893822193145752,0.11914460361003876,0.042433841428676684,45.561097860336304,18000.0,36000.0
36,37.0,13.0,0.2195703685283661,-5.056169033050537,0.10813841968774796,0.0416057840752741,45.73899793624878,18500.0,37000.0
37,38.0,163.0,0.24088284373283386,-5.249561309814453,0.09394937008619308,0.04083489407289646,45.640339851379395,19000.0,38000.0
38,39.0,58.0,0.2797051966190338,-5.495401859283447,0.08109750598669052,0.040144392778827184,45.92964220046997,19500.0,39000.0
39,40.0,161.0,0.35450029373168945,-5.812871932983398,0.06745262444019318,0.039523273838057926,45.72641062736511,20000.0,40000.0
40,41.0,188.0,0.4591381251811981,-6.321832180023193,0.05292194336652756,0.03898855768222264,46.120583057403564,20500.0,41000.0
41,42.0,236.0,0.47929421067237854,-6.8758673667907715,0.03223785385489464,0.038573362767037225,45.45882749557495,21000.0,42000.0
42,43.0,290.0,0.5240043997764587,-7.502526760101318,0.021042373031377792,0.03830516439869216,45.571354150772095,21500.0,43000.0
