,episode,episode_reward,critic_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,189.34449360821688,0.0,0.0,0.0,0.0,0.7952108383178711,250.0,1000.0
1,2.0,167.4184463169093,0.0,0.0,0.0,0.0,1.0611317157745361,500.0,2000.0
2,3.0,178.37033334368348,0.0,0.0,0.0,0.0,1.0141592025756836,750.0,3000.0
3,4.0,149.56351488660505,0.0,0.0,0.0,0.0,1.065056562423706,1000.0,4000.0
4,5.0,213.90401074353227,5.744843482971191,-7.486550331115723,0.5621896982192993,0.09554244864454689,172.78278279304504,1250.0,5000.0
5,6.0,199.6187079926628,14.390734672546387,-15.528594970703125,0.3205586373806,0.09308286565320782,32.69536590576172,1500.0,6000.0
6,7.0,241.55787818464972,16.000375747680664,-17.057270050048828,0.40702563524246216,0.09230248962435475,32.989699363708496,1750.0,7000.0
7,8.0,326.0293873857078,15.35680866241455,-19.716428756713867,0.3597964942455292,0.09146987188014823,32.41840720176697,2000.0,8000.0
8,9.0,287.8330598507388,13.461925506591797,-22.110687255859375,0.33342278003692627,0.09072815916564782,32.69036364555359,2250.0,9000.0
9,10.0,419.77589025308873,12.181099891662598,-24.18316650390625,0.32725682854652405,0.0899675722184705,32.44129729270935,2500.0,10000.0
10,11.0,387.8802317035018,11.276313781738281,-26.60934829711914,0.3113774359226227,0.08922120051787383,32.28820872306824,2750.0,11000.0
11,12.0,290.65485114362104,12.230025291442871,-28.3446102142334,0.29150068759918213,0.08849924885825709,31.834956169128418,3000.0,12000.0
12,13.0,420.6641755256916,13.084366798400879,-30.570405960083008,0.28782057762145996,0.08775736882662703,32.00221300125122,3250.0,13000.0
13,14.0,427.821615282376,12.789671897888184,-32.73004913330078,0.28672757744789124,0.08703332780755343,31.877548217773438,3500.0,14000.0
14,15.0,496.7736797412638,12.880913734436035,-34.984981536865234,0.2655605673789978,0.08628643345399603,31.902710914611816,3750.0,15000.0
15,16.0,473.3531455919864,12.435858726501465,-37.6165771484375,0.22501592338085175,0.08560678451340022,31.644479990005493,4000.0,16000.0
16,17.0,378.9933497156378,11.190061569213867,-40.021671295166016,0.23630623519420624,0.0849645808204511,31.795403957366943,4250.0,17000.0
17,18.0,404.99659722864936,10.538939476013184,-42.219905853271484,0.25890928506851196,0.0842304564226857,31.63331627845764,4500.0,18000.0
18,19.0,447.6329743107951,9.747509956359863,-44.01258087158203,0.26716673374176025,0.08346282972500602,31.948697805404663,4750.0,19000.0
19,20.0,613.3129722554798,10.420136451721191,-46.056915283203125,0.24439391493797302,0.08264828545925838,31.93616223335266,5000.0,20000.0
20,21.0,516.6059906106228,10.431631088256836,-48.44639587402344,0.20888763666152954,0.08194542638320543,31.768000602722168,5250.0,21000.0
21,22.0,563.9013507726813,10.69821548461914,-50.4395866394043,0.18693964183330536,0.08132045328561405,31.993424892425537,5500.0,22000.0
22,23.0,531.700030116125,11.00010871887207,-52.324867248535156,0.1823616325855255,0.08072537855171802,31.998018980026245,5750.0,23000.0
23,24.0,670.0194349840323,10.634296417236328,-54.387245178222656,0.18445704877376556,0.0800849169278159,32.3497576713562,6000.0,24000.0
24,25.0,652.5731291591559,10.782621383666992,-56.649147033691406,0.15563824772834778,0.0794987241256339,32.16792678833008,6250.0,25000.0
25,26.0,710.2043384405133,11.293673515319824,-58.91698455810547,0.16482074558734894,0.07890600155451383,32.45662784576416,6500.0,26000.0
26,27.0,937.9028773211253,11.702244758605957,-61.73403549194336,0.13530011475086212,0.07834594132155669,32.13449835777283,6750.0,27000.0
27,28.0,943.5345925569268,12.962249755859375,-64.9515380859375,0.09030035138130188,0.07790233354249218,32.310855865478516,7000.0,28000.0
28,29.0,773.3754847426258,13.524879455566406,-67.69195556640625,0.08749256283044815,0.07754308593040882,32.04227614402771,7250.0,29000.0
29,30.0,813.6968886046849,15.622318267822266,-70.53401184082031,0.07182325422763824,0.07719865322245961,31.73616051673889,7500.0,30000.0
30,31.0,632.9699135876666,17.581233978271484,-73.41989135742188,0.06467905640602112,0.07688907633450352,31.765925884246826,7750.0,31000.0
31,32.0,856.6658952577031,18.08123016357422,-76.10646057128906,0.04136713966727257,0.07662315460036828,31.606276988983154,8000.0,32000.0
32,33.0,968.8482860455674,18.795473098754883,-79.29852294921875,0.017829274758696556,0.07649215115818621,31.70050024986267,8250.0,33000.0
33,34.0,880.7922965917796,19.69778823852539,-82.66100311279297,0.002388622146099806,0.0764024553518957,31.861577033996582,8500.0,34000.0
34,35.0,859.9750824312096,22.035449981689453,-86.0042724609375,-0.0003674783802125603,0.07642588053425058,31.56620693206787,8750.0,35000.0
35,36.0,922.5885454420559,21.575380325317383,-89.43788146972656,-0.03056476078927517,0.07650184558404712,31.25475835800171,9000.0,36000.0
36,37.0,962.4189498342864,24.622867584228516,-92.81248474121094,-0.038334399461746216,0.07673538099824112,31.65702986717224,9250.0,37000.0
37,38.0,912.1300936940287,24.431488037109375,-96.18733215332031,-0.04761667549610138,0.07706393703407557,32.04411268234253,9500.0,38000.0
38,39.0,878.4510989445689,23.532121658325195,-99.95465087890625,-0.0405692532658577,0.07735767188283953,31.70845890045166,9750.0,39000.0
39,40.0,998.2820946909595,24.86733627319336,-103.4749526977539,-0.04394190385937691,0.07764399515621309,31.75749635696411,10000.0,40000.0
40,41.0,965.465317127696,23.757469177246094,-107.10980987548828,-0.0792451873421669,0.07817943958309884,31.71811008453369,10250.0,41000.0
41,42.0,822.5758930084338,24.648517608642578,-110.05772399902344,-0.06945748627185822,0.07878145113783756,31.985945224761963,10500.0,42000.0
