,episode,episode_reward,critic_loss,recon_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7746257781982422,500.0,1000.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843909502029419,1000.0,2000.0
2,3.0,0.0,0.004252400249242783,,-1.1156301498413086,0.3134785294532776,0.09404142974452134,279.74336791038513,1500.0,3000.0
3,4.0,4.0,0.005080006550997496,,-1.9445579051971436,0.2933962941169739,0.08740945574203116,88.40166807174683,2000.0,4000.0
4,5.0,1.0,0.006543800234794617,,-2.1637167930603027,0.2860938608646393,0.08536451182980095,87.78316307067871,2500.0,5000.0
5,6.0,8.0,0.010097073391079903,,-2.356577157974243,0.2795376181602478,0.08338189901320127,87.06233668327332,3000.0,6000.0
6,7.0,1.0,0.015620007179677486,,-2.514108419418335,0.27337807416915894,0.08145349006847635,87.07753729820251,3500.0,7000.0
7,8.0,0.0,0.014686118811368942,,-2.665666341781616,0.2669525742530823,0.07957847271681433,87.38013863563538,4000.0,8000.0
8,9.0,7.0,0.017972422763705254,,-2.8091063499450684,0.26011115312576294,0.07775755524864558,88.99366807937622,4500.0,9000.0
9,10.0,8.0,0.018807556480169296,,-2.9358437061309814,0.2532734274864197,0.07599010055962921,88.23062872886658,5000.0,10000.0
10,11.0,1.0,0.025773536413908005,,-3.0238358974456787,0.2482309490442276,0.07426726154901382,87.97195172309875,5500.0,11000.0
11,12.0,2.0,0.023967957124114037,,-3.167663812637329,0.24238529801368713,0.07258396611766736,88.08699297904968,6000.0,12000.0
12,13.0,4.0,0.02389758639037609,,-3.2787342071533203,0.23708878457546234,0.07094330243585532,95.35372686386108,6500.0,13000.0
13,14.0,1.0,0.028089480474591255,,-3.4092307090759277,0.23079146444797516,0.06934416762106778,86.55206537246704,7000.0,14000.0
14,15.0,5.0,0.022531971335411072,,-3.545891284942627,0.22542086243629456,0.067786365548458,86.80557322502136,7500.0,15000.0
15,16.0,4.0,0.02340211346745491,,-3.660393476486206,0.2197885364294052,0.0662659287667944,88.40651845932007,8000.0,16000.0
16,17.0,4.0,0.03323639556765556,,-3.7545299530029297,0.21424150466918945,0.06478538112995351,88.83757901191711,8500.0,17000.0
17,18.0,9.0,0.02737080678343773,,-3.8369786739349365,0.20882335305213928,0.06333947314471446,88.38688230514526,9000.0,18000.0
18,19.0,2.0,0.03390967845916748,,-3.9593822956085205,0.20313793420791626,0.06193068463808603,89.39993953704834,9500.0,19000.0
19,20.0,0.0,0.03964648395776749,,-4.020524978637695,0.1997174471616745,0.06055095037027188,87.59516906738281,10000.0,20000.0
20,21.0,16.0,0.03611631691455841,,-4.099184989929199,0.1934794932603836,0.05920379139063326,86.10205411911011,10500.0,21000.0
21,22.0,21.0,0.049924615770578384,,-4.187089443206787,0.188690185546875,0.05789049408484837,86.25821566581726,11000.0,22000.0
22,23.0,5.0,0.059254761785268784,,-4.249169826507568,0.18288925290107727,0.05661244290025374,86.73447370529175,11500.0,23000.0
23,24.0,17.0,0.07316373288631439,,-4.335509777069092,0.17552213370800018,0.05536907865763493,88.38239932060242,12000.0,24000.0
24,25.0,7.0,0.0923972874879837,,-4.349032878875732,0.1712886244058609,0.054169474078492104,87.7411425113678,12500.0,25000.0
25,26.0,22.0,0.13462170958518982,,-4.36851167678833,0.16499082744121552,0.052988271537515695,87.7339391708374,13000.0,26000.0
26,27.0,15.0,0.15581168234348297,,-4.4363694190979,0.15443097054958344,0.051864438581767945,87.19948720932007,13500.0,27000.0
27,28.0,0.0,0.17616181075572968,,-4.515786170959473,0.13783173263072968,0.050809115039031356,87.03379726409912,14000.0,28000.0
28,29.0,11.0,0.1789148896932602,,-4.714921474456787,0.11491433531045914,0.04988125521725857,90.53064942359924,14500.0,29000.0
29,30.0,0.0,0.22333118319511414,,-5.006587982177734,0.09552960097789764,0.04907026048683246,88.34670305252075,15000.0,30000.0
