,episode,episode_reward,critic_loss,recon_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,189.34449360821688,0.0,0.0,0.0,0.0,0.0,0.6983554363250732,250.0,1000.0
1,2.0,167.4184463169093,0.0,0.0,0.0,0.0,0.0,0.7007503509521484,500.0,2000.0
2,3.0,178.37033334368348,0.0,0.0,0.0,0.0,0.0,0.6970868110656738,750.0,3000.0
3,4.0,149.56351488660505,0.0,0.0,0.0,0.0,0.0,0.6981618404388428,1000.0,4000.0
4,5.0,234.32490678604324,5.22593879699707,,-7.310797214508057,0.5597614645957947,0.09554991790377791,1014.4395928382874,1250.0,5000.0
5,6.0,130.01023945745135,11.166205406188965,,-14.187477111816406,0.4349104166030884,0.09303411103935272,89.80564188957214,1500.0,6000.0
6,7.0,308.1220098428113,13.45879077911377,,-15.425655364990234,0.45106157660484314,0.09211194399687449,83.76274681091309,1750.0,7000.0
7,8.0,325.62228364025657,15.786492347717285,,-17.203943252563477,0.3923324942588806,0.09122017911059516,81.07362747192383,2000.0,8000.0
8,9.0,291.830771500974,15.067073822021484,,-19.4393367767334,0.30651742219924927,0.09051074298199664,76.80918645858765,2250.0,9000.0
9,10.0,358.64428875256965,16.464052200317383,,-21.647178649902344,0.28272369503974915,0.08986080553087471,73.7457480430603,2500.0,10000.0
10,11.0,363.3796645584225,17.413022994995117,,-24.03558921813965,0.22729632258415222,0.08928575122230004,54.0694043636322,2750.0,11000.0
11,12.0,389.29394601710203,15.80846881866455,,-26.80668830871582,0.20001286268234253,0.08875940126396005,60.18745303153992,3000.0,12000.0
12,13.0,364.59869760628186,14.919612884521484,,-29.479961395263672,0.21833941340446472,0.08823688718673252,60.160189151763916,3250.0,13000.0
13,14.0,425.1188221649215,12.427818298339844,,-32.019386291503906,0.18514633178710938,0.08771171951573999,55.52384305000305,3500.0,14000.0
14,15.0,340.06909716052945,10.97181224822998,,-34.25633239746094,0.22437837719917297,0.08715049076821073,55.63836669921875,3750.0,15000.0
15,16.0,337.5432704668773,9.447138786315918,,-36.29594421386719,0.2669801712036133,0.0864354235142284,55.736597299575806,4000.0,16000.0
16,17.0,430.94889226471304,8.645474433898926,,-38.1152458190918,0.2816728949546814,0.08561290096491185,55.50818085670471,4250.0,17000.0
17,18.0,479.1110443543161,8.082131385803223,,-39.893280029296875,0.29544734954833984,0.08475016274485407,55.345162868499756,4500.0,18000.0
18,19.0,438.79576476730017,8.29426097869873,,-41.60646438598633,0.3045650124549866,0.08382876996006336,55.35404372215271,4750.0,19000.0
19,20.0,415.6681203378928,8.99621868133545,,-43.47709274291992,0.2692503333091736,0.08296148118101199,56.08051013946533,5000.0,20000.0
20,21.0,507.74505058607554,8.861433029174805,,-45.22771453857422,0.2739676237106323,0.08212030460464148,53.527427434921265,5250.0,21000.0
21,22.0,468.12600910180913,8.472827911376953,,-46.973358154296875,0.2711029648780823,0.0812635519842202,53.688148498535156,5500.0,22000.0
22,23.0,481.2744914534838,8.646100044250488,,-48.906707763671875,0.2548990845680237,0.08044645650491598,81.70162916183472,5750.0,23000.0
23,24.0,449.42661829922065,9.150744438171387,,-50.611488342285156,0.23711641132831573,0.07966174921788823,85.28001570701599,6000.0,24000.0
24,25.0,501.0827212269328,9.492023468017578,,-52.43054962158203,0.23045231401920319,0.0789080603249014,82.01537084579468,6250.0,25000.0
25,26.0,515.2910699819994,8.940534591674805,,-54.28700637817383,0.2210749089717865,0.07815845270155175,77.67769169807434,6500.0,26000.0
26,27.0,561.321264208618,8.880199432373047,,-56.20651626586914,0.19826452434062958,0.07746448171565322,73.27898716926575,6750.0,27000.0
27,28.0,470.5459286361495,8.644904136657715,,-58.08527755737305,0.1917969286441803,0.07680668554647338,69.37452840805054,7000.0,28000.0
28,29.0,495.8805501204525,8.432281494140625,,-59.88154220581055,0.21277229487895966,0.07608905837515856,67.41021347045898,7250.0,29000.0
29,30.0,541.248995552418,8.282613754272461,,-61.63290786743164,0.21317405998706818,0.07533169950832609,63.309953451156616,7500.0,30000.0
30,31.0,534.7977202889426,8.36560344696045,,-63.291954040527344,0.21420826017856598,0.07456728482770521,53.72925090789795,7750.0,31000.0
31,32.0,574.494795433326,8.507203102111816,,-65.04994201660156,0.21143782138824463,0.07378539985392243,53.952333211898804,8000.0,32000.0
32,33.0,590.5159445977033,8.997644424438477,,-66.99700927734375,0.18915489315986633,0.07306052260526864,62.24170684814453,8250.0,33000.0
33,34.0,451.2555765251074,8.934245109558105,,-68.90867614746094,0.1824037730693817,0.0723722154319924,75.0897376537323,8500.0,34000.0
34,35.0,599.6214243508373,9.813983917236328,,-70.72003173828125,0.17741359770298004,0.071708847117494,83.92083597183228,8750.0,35000.0
35,36.0,502.10181550919873,9.772785186767578,,-72.55506134033203,0.17236338555812836,0.07101460489107242,77.32893705368042,9000.0,36000.0
36,37.0,609.0613529479408,9.954977035522461,,-74.48617553710938,0.15382643043994904,0.07038586473580676,73.33066725730896,9250.0,37000.0
37,38.0,670.00336969335,10.773478507995605,,-76.29802703857422,0.15448880195617676,0.06977247520213102,72.38321661949158,9500.0,38000.0
38,39.0,575.9457628631668,10.732494354248047,,-78.32865905761719,0.1389152705669403,0.06916640457004061,69.06151366233826,9750.0,39000.0
39,40.0,591.7756346055128,11.300254821777344,,-80.20511627197266,0.1415475755929947,0.06859320221228052,61.73983836174011,10000.0,40000.0
40,41.0,670.1316364932155,11.672719955444336,,-82.13744354248047,0.13209785521030426,0.06799137951205422,53.694841146469116,10250.0,41000.0
