,episode,episode_reward,critic_loss,actor_loss,alpha_loss,alpha_value,duration,step,env_step
0,1.0,100.12090405144443,0.0,0.0,0.0,0.0,0.4053328037261963,125.0,1000.0
1,2.0,209.3002534098449,0.0,0.0,0.0,0.0,0.44601869583129883,250.0,2000.0
2,3.0,44.22913007499831,0.0,0.0,0.0,0.0,0.4125504493713379,375.0,3000.0
3,4.0,50.238177830119334,0.0,0.0,0.0,0.0,0.4360947608947754,500.0,4000.0
4,5.0,155.04419599224568,0.0,0.0,0.0,0.0,0.3945281505584717,625.0,5000.0
5,6.0,202.18995670298813,0.0,0.0,0.0,0.0,0.43437767028808594,750.0,6000.0
6,7.0,82.41571740463263,0.0,0.0,0.0,0.0,0.43698906898498535,875.0,7000.0
7,8.0,133.75230300094637,0.0,0.0,0.0,0.0,0.40192389488220215,1000.0,8000.0
8,9.0,154.43448514934053,5.807475566864014,-6.056271076202393,0.10351493209600449,0.09552570954369026,140.15007066726685,1125.0,9000.0
9,10.0,171.516606917707,7.359436511993408,-10.945178985595703,0.06924127042293549,0.09158657399845949,10.931284666061401,1250.0,10000.0
10,11.0,131.68731946728198,7.9954938888549805,-11.692636489868164,0.054662514477968216,0.09123172886092153,10.785799980163574,1375.0,11000.0
11,12.0,192.557052785343,9.433252334594727,-12.45688533782959,0.036809664219617844,0.09095736965608989,10.776043176651001,1500.0,12000.0
12,13.0,181.57592869217567,9.655601501464844,-13.38542366027832,0.010214119218289852,0.09082386056406752,10.825105428695679,1625.0,13000.0
13,14.0,156.76155038627806,8.799978256225586,-14.272907257080078,0.005099966656416655,0.09077720000294866,10.809980630874634,1750.0,14000.0
14,15.0,173.69156685305614,9.163678169250488,-14.907391548156738,-0.008888576179742813,0.0907797299506182,11.463241577148438,1875.0,15000.0
15,16.0,201.8991644130071,8.30106258392334,-15.802472114562988,-0.005512401461601257,0.09084030223467926,14.773920774459839,2000.0,16000.0
16,17.0,231.77827244130918,8.760387420654297,-16.594987869262695,0.0034166572149842978,0.09085428292326546,10.932005882263184,2125.0,17000.0
17,18.0,220.89056185458003,8.803628921508789,-17.827199935913086,-0.004462821409106255,0.09085529653259974,10.90509033203125,2250.0,18000.0
18,19.0,203.64751907967513,9.761978149414062,-18.745954513549805,-0.005430309567600489,0.09088790624032708,10.911763668060303,2375.0,19000.0
19,20.0,202.42214234463893,9.119354248046875,-19.646240234375,0.00018324395932722837,0.09091097940024113,10.906369686126709,2500.0,20000.0
20,21.0,155.23040772392312,9.254886627197266,-20.330493927001953,0.013338337652385235,0.090860477272585,10.80570673942566,2625.0,21000.0
21,22.0,216.96619920246061,9.724225997924805,-21.281997680664062,0.02021820656955242,0.09071352490592374,10.800676345825195,2750.0,22000.0
22,23.0,220.13305808620257,9.685795783996582,-22.355026245117188,0.0171187911182642,0.09056546855549039,10.833051443099976,2875.0,23000.0
23,24.0,247.56408880526328,13.863863945007324,-23.1878662109375,0.006660764105618,0.09044949432440194,10.823876142501831,3000.0,24000.0
24,25.0,220.36438653820198,9.324444770812988,-24.310184478759766,0.004142533056437969,0.0903961758136393,10.803528308868408,3125.0,25000.0
25,26.0,238.28981364624846,11.506853103637695,-25.12242317199707,0.022560393437743187,0.09023438826866335,10.811901330947876,3250.0,26000.0
26,27.0,202.2378899316786,11.752655029296875,-25.96045684814453,0.013287658803164959,0.0901050247244073,10.846846103668213,3375.0,27000.0
27,28.0,203.14405662370783,12.371556282043457,-26.95100975036621,0.023423627018928528,0.08987901388200559,10.83696985244751,3500.0,28000.0
28,29.0,351.55043799787944,15.267897605895996,-27.899330139160156,0.016001643612980843,0.08966415304921004,10.823442697525024,3625.0,29000.0
29,30.0,258.54288042101103,12.567069053649902,-28.744369506835938,0.01859498769044876,0.08950103131392297,10.827538251876831,3750.0,30000.0
30,31.0,305.5320158357549,12.460689544677734,-29.7658634185791,0.020009145140647888,0.08927778457824924,10.776324987411499,3875.0,31000.0
31,32.0,251.34409369261843,12.79493236541748,-30.659496307373047,0.022920871153473854,0.08903691993187181,10.783599853515625,4000.0,32000.0
32,33.0,202.4266216149054,12.692802429199219,-31.932207107543945,0.016570862382650375,0.0887981356671251,10.812819480895996,4125.0,33000.0
33,34.0,250.79319381180187,14.253622055053711,-32.71459197998047,0.014590985141694546,0.08863258777536723,10.797645330429077,4250.0,34000.0
34,35.0,279.47314236281966,14.452802658081055,-33.51784133911133,0.022624529898166656,0.08841296184433474,10.820232152938843,4375.0,35000.0
35,36.0,223.1380910835189,13.350905418395996,-34.61774444580078,0.01897328533232212,0.08812836019966551,10.83416485786438,4500.0,36000.0
36,37.0,204.32541043863114,14.091497421264648,-35.31953811645508,0.01807706244289875,0.08790410863088687,10.848248958587646,4625.0,37000.0
37,38.0,262.96806215249273,15.811017036437988,-36.31278991699219,0.012071763165295124,0.08768709861107195,10.81453013420105,4750.0,38000.0
38,39.0,281.19574993038475,16.466293334960938,-37.376033782958984,0.005216655321419239,0.0875682731038819,10.833354711532593,4875.0,39000.0
39,40.0,239.30435753223264,16.518291473388672,-38.02750015258789,0.0015208320692181587,0.0875281954430117,10.835206508636475,5000.0,40000.0
40,41.0,224.8272019907266,22.04498863220215,-39.23251724243164,0.0038019295316189528,0.08749814577824479,10.776034593582153,5125.0,41000.0
41,42.0,282.23363025827376,17.920007705688477,-40.521907806396484,-0.005586588755249977,0.08753197114005098,10.77472186088562,5250.0,42000.0
42,43.0,230.33236802276906,17.171396255493164,-41.17550277709961,0.004091029055416584,0.08754370837783766,10.792179346084595,5375.0,43000.0
43,44.0,240.00978938854163,16.913328170776367,-42.283607482910156,0.0006953499396331608,0.0874766054666774,10.787743330001831,5500.0,44000.0
44,45.0,375.61506959869354,18.018707275390625,-43.244022369384766,0.011255962774157524,0.08740519180504981,10.821267366409302,5625.0,45000.0
45,46.0,270.1023053139368,17.05126190185547,-44.20420455932617,0.006603186950087547,0.08724966061893352,10.831860780715942,5750.0,46000.0
46,47.0,278.70333070530535,18.665912628173828,-45.423828125,0.0069691999815404415,0.08712330024639335,10.847148895263672,5875.0,47000.0
47,48.0,253.43940250720036,20.66999053955078,-46.37269973754883,-0.0001506797270849347,0.08705206884269241,10.842254638671875,6000.0,48000.0
48,49.0,244.78213792413567,17.42790412902832,-47.514713287353516,-0.0022588956635445356,0.08711772726648435,10.7997567653656,6125.0,49000.0
49,50.0,360.70313370975225,17.349538803100586,-48.614349365234375,-0.004134365823119879,0.08716317354255194,10.83165431022644,6250.0,50000.0
50,51.0,324.26421037032816,17.484519958496094,-49.7818489074707,-0.001161005231551826,0.08722273324822412,10.810496091842651,6375.0,51000.0
51,52.0,252.62043601479468,20.381059646606445,-50.842376708984375,-0.0026601545978337526,0.08725868572841033,10.772533416748047,6500.0,52000.0
52,53.0,318.1745896168958,20.842254638671875,-51.786705017089844,-0.0077760471031069756,0.08735456729340173,10.808426141738892,6625.0,53000.0
53,54.0,358.5858989406947,19.880813598632812,-52.78083801269531,-0.007582939229905605,0.08747701461888714,10.816396713256836,6750.0,54000.0
54,55.0,371.41312503745297,21.30736541748047,-54.040245056152344,-0.009330864995718002,0.08766888217825547,10.81933879852295,6875.0,55000.0
55,56.0,240.7907151833599,22.184768676757812,-55.14826965332031,-0.007795295212417841,0.08785592821448741,10.835133075714111,7000.0,56000.0
56,57.0,397.7609287581528,22.151151657104492,-56.556095123291016,-0.011973034590482712,0.0880471562210572,10.835805654525757,7125.0,57000.0
57,58.0,348.5926369507579,24.66674041748047,-57.57252502441406,-0.012550771236419678,0.08829408140831892,10.810787677764893,7250.0,58000.0
58,59.0,355.08465056100687,27.521343231201172,-58.66114807128906,-0.014500017277896404,0.08861285425552665,10.84485912322998,7375.0,59000.0
59,60.0,367.8877595829103,26.367189407348633,-59.7889518737793,-0.017557036131620407,0.08897831835174286,10.806896448135376,7500.0,60000.0
60,61.0,324.1636742133284,28.179569244384766,-61.42633056640625,-0.02029874175786972,0.089354050709439,10.805830240249634,7625.0,61000.0
61,62.0,396.9883965664264,28.768590927124023,-62.247642517089844,-0.016700047999620438,0.08979599707213838,10.844635009765625,7750.0,62000.0
62,63.0,366.71238992241035,33.421051025390625,-63.75600051879883,-0.016243088990449905,0.09015928876766735,10.904836654663086,7875.0,63000.0
63,64.0,434.0497786781928,37.62504577636719,-64.99702453613281,-0.018538421019911766,0.09057892222200173,10.904058456420898,8000.0,64000.0
64,65.0,369.4650992381793,37.683753967285156,-66.0804672241211,-0.021078789606690407,0.09105793986766136,10.955913066864014,8125.0,65000.0
65,66.0,298.48114144270886,43.19316101074219,-67.48807525634766,-0.024932770058512688,0.09154657769262355,10.906814336776733,8250.0,66000.0
